Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"658471000","169100","3280","706.4"
"659719000","169100","3280","707.2"
"660584000","169100","3280","707.5"
"661577000","169100","3280","708.3"
"662435000","169100","3281","708.7"
"663428000","169100","3281","709.4"
"664542000","169100","3281","709.8"
"665535000","169100","3281","710.5"
"666393000","169100","3281","710.9"
"667387000","169100","3281","711.3"
"668245000","169100","3281","712.0"
"669494000","169100","3281","712.4"
"670353000","169100","3281","713.1"
"671351000","169100","3281","713.5"
"672210000","169100","3281","714.3"
"673202000","169100","3281","714.6"
"674316000","169100","3281","715.4"
"675309000","169100","3281","715.7"
"676168000","169100","3281","716.1"
"677161000","169100","3281","716.9"
"678019000","169100","3281","717.2"
"679267000","169100","3281","718.0"
"680125000","169100","3281","718.4"
"681128000","169100","3281","719.1"
"681987000","169100","3281","719.5"
"682981000","169100","3281","720.2"
"684036000","169100","3281","720.6"
"685088000","169100","3281","721.4"
"685946000","169100","3281","721.7"
"686939000","169100","3281","722.5"
"687797000","169100","3281","722.9"
"688988000","169100","3281","723.6"
"689905000","169100","3281","724.0"
"690904000","169100","3281","724.3"
"691763000","169100","3281","725.1"
"692756000","169100","3281","725.5"
"693870000","169100","3281","726.2"
"694863000","169100","3281","726.6"
"695721000","169100","3281","727.3"
"696715000","169100","3281","727.7"
"697574000","169100","3281","728.1"
"698821000","169100","3281","728.8"
"699680000","169100","3281","729.2"
"700679000","169100","3281","729.9"
"701537000","169100","3281","730.3"
"702529000","169100","3281","731.1"
"703643000","169100","3281","731.4"
"704636000","169100","3281","732.2"
"705495000","169100","3281","732.6"
"706488000","169100","3281","733.3"
"707347000","169100","3281","733.7"
"708595000","169100","3281","734.4"
"709454000","169100","3281","734.8"
"710447000","168800","3281","735.6"
"711312000","168800","3281","735.9"
"712306000","168800","3281","736.3"
"713419000","168800","3281","737.0"
"714412000","168800","3281","737.4"
"715271000","168800","3281","738.2"
"716264000","168800","3281","738.5"
"717123000","168800","3281","738.9"
"718371000","168800","3281","739.6"
"719230000","168800","3281","740.0"
"720222000","168800","3281","740.8"
"721087000","168800","3281","741.1"
"722146000","168800","3281","741.9"
"723260000","168800","3281","742.2"
"724253000","168800","3281","743.0"
"725112000","168800","3281","743.4"
"726105000","168800","3281","744.1"
"726965000","168800","3281","744.5"
"728213000","168800","3281","745.3"
"729072000","168800","3281","745.6"
"730065000","168800","3281","746.4"
"730928000","168800","3281","746.7"
"731922000","168800","3281","747.5"
"733036000","168800","3281","747.9"
"734030000","168800","3281","748.6"
"734888000","168800","3281","749.0"
"735881000","168800","3281","749.4"
"736740000","168800","3281","750.1"
"737988000","168800","3281","750.5"
"738846000","168800","3281","751.2"
"739840000","168800","3281","751.6"
"740704000","168800","3281","752.4"
"741698000","168800","3281","752.7"
"742812000","168800","3281","753.5"
"743806000","168800","3281","753.8"
"744666000","168800","3281","754.2"
"745658000","168800","3281","755.0"
"746517000","168800","3281","755.3"
"747707000","168800","3281","756.1"
"748623000","168800","3281","756.4"
"749615000","168800","3281","757.2"
"750480000","168800","3281","757.6"
"751474000","168800","3281","758.3"
"752530000","168800","3281","758.7"
"753580000","168800","3281","759.5"
"754439000","168800","3281","759.8"
"755433000","168800","3281","760.2"
"756290000","168800","3281","760.9"
"757538000","168800","3281","761.7"
"758398000","168800","3281","762.1"
"759391000","168800","3281","762.4"
"760250000","168800","3281","763.2"
"761248000","168800","3281","763.5"
"762306000","168800","3281","764.3"
"763357000","168800","3281","764.7"
"764220000","168800","3281","765.0"
"765214000","168800","3281","765.8"
"766073000","168800","3281","766.2"
"767320000","168800","3281","766.9"
"768179000","168800","3281","767.3"
"769172000","168800","3281","768.0"
"770032000","168800","3281","768.4"
"771030000","168800","3281","769.2"
"772145000","168800","3281","769.5"
"773138000","168800","3281","770.3"
"773997000","168800","3281","770.6"
"774990000","168800","3281","771.4"
"775848000","168800","3281","771.8"
"777097000","168800","3281","772.5"
"777955000","168800","3281","772.9"
"778948000","168800","3281","773.2"
"779807000","168800","3281","774.0"
"780805000","168800","3281","774.4"
"781862000","168800","3281","775.1"
"782914000","168800","3281","775.5"
"783772000","168800","3281","776.3"
"784766000","168800","3281","776.6"
"785625000","168800","3281","777.0"
"786872000","168800","3281","777.7"
"787730000","168800","3281","778.5"
"788723000","168800","3281","778.9"
"789583000","168800","3281","779.2"
"790581000","168800","3281","780.0"
"791696000","168800","3281","780.3"
"792690000","168800","3281","781.1"
"793549000","168800","3281","781.5"
"794542000","168200","3281","782.2"
"795401000","168200","3281","782.6"
"796650000","168200","3281","783.4"
"797509000","168200","3281","783.7"
"798501000","168200","3281","784.5"
"799360000","168200","3281","784.8"
"800353000","168200","3281","785.2"
"801473000","168200","3281","786.0"
"802465000","168200","3281","786.7"
"803324000","168200","3281","787.1"
"804317000","168200","3281","787.4"
"805176000","168200","3281","788.2"
"806429000","168200","3281","788.6"
"807287000","168200","3281","789.3"
"808281000","168200","3281","789.7"
"809139000","168200","3281","790.5"
"810132000","168200","3281","790.8"
"811252000","168200","3281","791.6"
"812245000","168200","3281","791.9"
"813104000","168200","3281","792.3"
"814098000","168200","3281","793.1"
"814956000","168200","3281","793.4"
"816204000","168200","3281","794.2"
"817064000","168200","3281","794.5"
"818057000","168200","3281","795.3"
"818915000","168200","3281","795.7"
"819909000","168200","3281","796.4"
"821029000","168200","3281","796.8"
"822022000","168200","3281","797.6"
"822880000","168200","3281","797.9"
"823873000","168200","3281","798.7"
"824731000","168200","3281","799.0"
