Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"405937000","3529900","3271","336580.2",""
"406782000","3529900","3271","336590.1",""
"407626000","3529900","3271","336600.0",""
"408719000","3529900","3271","336612.7",""
"409620000","3530400","3271","336623.0",""
"410464000","3530400","3271","336632.9",""
"411314000","3530400","3271","336642.8",""
"412158000","3530400","3271","336652.3",""
"413250000","3530400","3271","336665.4",""
"414152000","3526400","3271","336675.7",""
"414996000","3526400","3271","336685.6",""
"415839000","3526400","3271","336695.5",""
"416683000","3526400","3271","336705.5",""
"417777000","3526400","3271","336718.1",""
"418678000","3530900","3271","336728.5",""
"419522000","3530900","3271","336738.4",""
"420367000","3530900","3271","336748.3",""
"421217000","3530900","3271","336758.2",""
"422310000","3530900","3271","336770.9",""
"423213000","3524400","3271","336781.2",""
"424056000","3524400","3271","336791.1",""
"424899000","3524400","3271","336801.0",""
"425742000","3524400","3270","336810.9",""
"426836000","3524400","3270","336823.6",""
"427738000","3531400","3270","336833.9",""
"428582000","3531400","3270","336843.8",""
"429426000","3531400","3270","336853.8",""
"430270000","3531400","3269","336863.7",""
"431361000","3531400","3270","336876.4",""
"432271000","3525400","3270","336886.7",""
"433116000","3525400","3270","336896.6",""
"433960000","3525400","3270","336906.5",""
"434802000","3525400","3270","336916.4",""
"435896000","3525400","3270","336929.1",""
"436798000","3530400","3270","336939.4",""
"437642000","3530400","3270","336949.3",""
"438485000","3530400","3270","336959.2",""
"439329000","3530400","3270","336969.1",""
"440422000","3530400","3271","336981.8",""
"441334000","3549500","3271","336992.5",""
"442178000","3549500","3271","337002.1",""
"443023000","3549500","3271","337012.0",""
"443867000","3549500","3271","337021.9",""
"444960000","3549500","3271","337034.6",""
"445861000","3503700","3271","337044.9",""
"446705000","3503700","3271","337054.8",""
"447547000","3503700","3271","337064.7",""
"448392000","3503700","3271","337074.6",""
"449485000","3503700","3271","337087.3",""
"450386000","3558000","3270","337098.0",""
"451236000","3558000","3271","337107.5",""
"452081000","3558000","3271","337117.4",""
"452925000","3558000","3271","337127.4",""
"454017000","3558000","3271","337140.0",""
"454918000","3500200","3271","337150.4",""
"455761000","3500200","3271","337160.3",""
"456603000","3500200","3271","337170.2",""
"457448000","3500200","3271","337180.1",""
"458542000","3500200","3272","337192.8","0x3E0608680004830"
"459444000","3530900","3271","337203.1","0x3E0614A80004930"
"460287000","3530900","3271","337213.0",""
"461137000","3530900","3271","337222.9",""
"461981000","3530900","3271","337232.8",""
"463073000","3530900","3271","337245.5",""
"463974000","3527400","3271","337255.8",""
"464817000","3527400","3271","337265.7",""
"465659000","3527400","3271","337275.7",""
"466504000","3527400","3271","337285.6",""
"467597000","3527400","3271","337298.3",""
"468499000","3531900","3271","337308.6",""
"469343000","3531900","3271","337318.5",""
"470186000","3531900","3271","337328.4",""
"471036000","3531900","3271","337338.3",""
"472122000","3531900","3271","337351.0",""
"473031000","3526400","3271","337361.3",""
"473874000","3526400","3271","337371.2",""
"474717000","3526400","3272","337381.1",""
"475561000","3526400","3272","337391.0",""
"476655000","3526400","3272","337403.7",""
"477556000","3531400","3272","337414.0",""
"478400000","3531400","3271","337424.0",""
"479243000","3531400","3271","337433.9",""
"480087000","3531400","3272","337443.8",""
"481186000","3531400","3272","337456.5",""
"482088000","3553500","3271","337467.2",""
"482945000","3553500","3272","337477.1",""
"483789000","3553500","3272","337487.0","0x3E0612880004830"
"484632000","3553500","3272","337496.5","0x3E0612880004930"
"485724000","3553500","3272","337509.2",""
"486626000","3521400","3272","337519.9",""
"487470000","3521400","3272","337529.8",""
"488314000","3521400","3272","337539.3",""
"489158000","3521400","3272","337549.3",""
"490251000","3521400","3272","337561.9",""
"491158000","3526400","3272","337572.7",""
"492001000","3526400","3272","337582.6","0x3E0625480004830"
"492846000","3526400","3271","337592.1","0x3E0614A80004930"
"493690000","3526400","3272","337602.0",""
"494784000","3526400","3271","337614.7",""
"495685000","3529900","3271","337625.4",""
"496529000","3529900","3271","337634.9",""
"497373000","3529900","3271","337644.8",""
"498217000","3529900","3271","337654.7",""
"499309000","3529900","3271","337667.4",""
"500210000","3531400","3271","337678.1",""
"501060000","3531400","3272","337688.0",""
"501905000","3531400","3272","337698.0",""
"502747000","3531400","3272","337707.5",""
"503839000","3531400","3271","337720.2",""
"504741000","3527400","3272","337730.9",""
"505585000","3527400","3272","337740.8",""
"506429000","3527400","3272","337750.3",""
"507272000","3527400","3272","337760.2",""
"508364000","3527400","3272","337772.9",""
"509266000","3531900","3272","337783.6",""
"510110000","3531900","3272","337793.5",""
"510960000","3531900","3272","337803.4",""
"511803000","3531900","3272","337812.9",""
"512895000","3531900","3272","337825.6",""
"513798000","3526400","3272","337836.3",""
"514641000","3526400","3272","337846.3",""
"515486000","3526400","3272","337855.8",""
"516330000","3526400","3273","337865.7",""
"517424000","3526400","3272","337878.4",""
"518325000","3529900","3272","337889.1",""
"519169000","3529900","3272","337899.0",""
"520013000","3529900","3273","337908.5",""
"520863000","3529900","3272","337918.4",""
"521956000","3529900","3272","337931.1",""
"522858000","3525400","3272","337941.8",""
"523702000","3525400","3273","337951.7",""
"524546000","3525400","3273","337961.6",""
"525395000","3525400","3273","337971.6",""
"526488000","3525400","3273","337984.2",""
"527391000","3525900","3273","337994.5",""
"528235000","3525900","3272","338004.5",""
"529079000","3525900","3272","338014.4",""
"529922000","3525900","3273","338023.9",""
"531022000","3525900","3273","338037.0",""
"531924000","3524900","3273","338047.3",""
"532769000","3524900","3272","338057.2",""
"533612000","3524900","3272","338067.1",""
"534455000","3524900","3272","338077.0",""
"535549000","3524900","3272","338089.7",""
"536451000","3530400","3272","338100.0",""
"537295000","3530400","3272","338109.9",""
"538138000","3530400","3272","338119.9",""
"538982000","3530400","3272","338129.4",""
"540075000","3530400","3272","338142.5",""
"540984000","3525900","3273","338152.8",""
"541827000","3525900","3272","338162.7",""
"542670000","3525900","3272","338172.6",""
"543514000","3525900","3272","338182.5",""
"544608000","3525900","3272","338195.2",""
"545509000","3531400","3273","338205.5",""
"546353000","3531400","3272","338215.4",""
"547196000","3531400","3272","338225.3",""
"548040000","3531400","3272","338235.2",""
"549133000","3531400","3272","338247.9",""
"550035000","3530900","3272","338258.2",""
"550885000","3530900","3272","338268.1",""
"551729000","3530900","3272","338278.1",""
"552572000","3530900","3272","338288.0",""
