Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"802166000","3387100","3276","9013.0"
"803260000","3387100","3276","9024.9"
"804352000","3387100","3276","9037.2"
"805445000","3387100","3276","9049.5"
"806792000","3390600","3276","9064.6"
"807885000","3390600","3276","9076.6"
"808977000","3390600","3276","9088.9"
"810075000","3390600","3276","9101.2"
"811167000","3390600","3276","9113.5"
"812515000","3366800","3276","9128.2"
"813608000","3366800","3276","9140.5"
"814701000","3366800","3276","9152.9"
"815793000","3366800","3276","9165.2"
"816886000","3366800","3276","9177.1"
"818233000","3390900","3276","9192.2"
"819331000","3390900","3276","9204.5"
"820428000","3390900","3276","9216.9"
"821520000","3390900","3276","9228.8"
"822613000","3390900","3276","9241.1"
"823962000","3384500","3276","9256.2"
"825054000","3384500","3276","9268.1"
"826147000","3384500","3276","9280.4"
"827238000","3384500","3276","9292.8"
"828331000","3384500","3276","9305.1"
"829684000","3366800","3276","9319.8"
"830778000","3366800","3276","9332.1"
"831869000","3366800","3276","9344.4"
"832962000","3366800","3276","9356.7"
"834054000","3366800","3275","9368.7"
"835403000","3390600","3276","9383.8"
"836495000","3390600","3276","9396.1"
"837587000","3390600","3276","9408.4"
"838680000","3390600","3275","9420.3"
"839778000","3390600","3276","9432.6"
"841124000","3388700","3276","9447.7"
"842218000","3388700","3276","9460.1"
"843309000","3388700","3276","9472.0"
"844402000","3388700","3276","9484.3"
"845494000","3388700","3276","9496.6"
"846843000","3369400","3276","9511.3"
"847935000","3369400","3276","9523.6"
"849028000","3369400","3275","9536.0"
"850125000","3369400","3275","9548.3"
"851218000","3369400","3275","9560.2"
"852566000","3387900","3275","9575.3"
"853659000","3387900","3275","9587.6"
"854751000","3387900","3275","9599.9"
"855843000","3387900","3275","9611.9"
"856935000","3387900","3275","9624.2"
"858284000","3390900","3275","9639.3"
"859376000","3390900","3275","9651.2"
"860474000","3390900","3275","9663.5"
"861571000","3390900","3275","9675.8"
"862663000","3390900","3275","9688.2"
"864010000","3385600","3275","9703.3"
"865103000","3385600","3275","9715.2"
"866195000","3385600","3275","9727.5"
"867287000","3385600","3275","9739.8"
"868380000","3385600","3275","9751.8"
"869734000","3366000","3275","9766.9"
"870826000","3366000","3275","9779.2"
"871919000","3366000","3275","9791.5"
"873011000","3366000","3275","9803.4"
"874104000","3366000","3275","9815.7"
"875452000","3391300","3275","9830.8"
"876544000","3391300","3275","9843.2"
"877636000","3391300","3275","9855.1"
"878728000","3391300","3275","9867.4"
"879827000","3391300","3275","9879.7"
"881175000","3366400","3275","9894.4"
"882268000","3366400","3275","9906.7"
"883361000","3366400","3275","9919.1"
