Time(ms),Voltage(V),Power(Watt) 
8591,1.1719,0.0062422
8605,1.1621,0.0061386
8620,1.2012,0.0065582
8633,1.1621,0.0061386
8647,1.1523,0.0060359
8660,1.167,0.0061903
8675,0.56152,0.0014332
8688,1.2061,0.0066117
8702,0.03418,5.3102e-06
8715,1.1914,0.006452
8728,1.1475,0.0059848
8742,1.1377,0.0058834
8756,1.123,0.0057329
8770,1.1426,0.005934
8784,1.1084,0.0055843
8798,1.1865,0.0063993
8812,1.1719,0.0062422
8825,1.1426,0.005934
8840,1.167,0.0061903
8854,1.1084,0.0055843
8867,1.167,0.0061903
8882,1.1523,0.0060359
8895,1.1572,0.0060872
8909,1.1523,0.0060359
8924,1.1621,0.0061386
8937,1.1426,0.005934
8951,1.1426,0.005934
8965,1.1621,0.0061386
8979,1.1523,0.0060359
8993,1.1621,0.0061386
9007,1.1328,0.005833
9021,1.1768,0.0062944
9034,1.167,0.0061903
9049,1.1816,0.0063467
9063,1.2012,0.0065582
9076,1.1572,0.0060872
9091,1.123,0.0057329
9104,1.1523,0.0060359
9118,0.039063,6.9358e-06
9131,1.0986,0.0054863
9144,1.1133,0.0056336
9158,1.1572,0.0060872
9171,1.2012,0.0065582
9186,1.1328,0.005833
9199,1.1426,0.005934
9213,1.1768,0.0062944
9228,1.1621,0.0061386
9241,1.1377,0.0058834
9255,1.1523,0.0060359
9269,1.1328,0.005833
9283,1.1963,0.006505
9297,1.1328,0.005833
9311,1.1816,0.0063467
9325,1.1035,0.0055352
9338,1.1523,0.0060359
9353,1.1475,0.0059848
9367,1.1572,0.0060872
9380,1.1377,0.0058834
9395,1.0986,0.0054863
9408,0.029297,3.9014e-06
9420,1.1279,0.0057828
9435,1.1572,0.0060872
9448,1.2256,0.0068275
9462,1.1328,0.005833
9476,1.1084,0.0055843
9490,1.1475,0.0059848
9504,1.2012,0.0065582
9518,1.1572,0.0060872
9532,1.1719,0.0062422
9545,1.1621,0.0061386
9560,1.2012,0.0065582
9574,1.123,0.0057329
9587,1.1426,0.005934
9602,1.1816,0.0063467
9615,1.2109,0.0066653
9629,1.1865,0.0063993
9644,1.1963,0.006505
9657,1.1182,0.0056831
9671,1.1475,0.0059848
9684,1.2158,0.0067192
9699,1.1816,0.0063467
9713,1.1865,0.0063993
9726,1.1426,0.005934
9741,1.1426,0.005934
9754,1.1426,0.005934
9768,1.1719,0.0062422
9783,1.1279,0.0057828
9796,1.1426,0.005934
9810,1.1963,0.006505
9824,1.1523,0.0060359
9838,0.20996,0.00020038
9851,1.1768,0.0062944
9865,1.1572,0.0060872
9879,1.1621,0.0061386
9892,1.1719,0.0062422
9907,1.1963,0.006505
9921,1.1768,0.0062944
9934,1.1377,0.0058834
9949,1.1279,0.0057828
9962,1.1279,0.0057828
9976,1.1621,0.0061386
9990,1.1182,0.0056831
10004,1.1035,0.0055352
10019,1.167,0.0061903
10034,1.1279,0.0057828
10049,1.2012,0.0065582
10064,1.1133,0.0056336
10079,1.1865,0.0063993
10094,1.167,0.0061903
10109,1.1475,0.0059848
10124,1.1621,0.0061386
10139,1.1572,0.0060872
10153,1.1963,0.006505
10169,1.1279,0.0057828
10184,1.1816,0.0063467
10199,1.1914,0.006452
10214,1.1816,0.0063467
10229,1.1621,0.0061386
10244,1.2012,0.0065582
10259,0.039063,6.9358e-06
10272,1.1523,0.0060359
10287,1.1768,0.0062944
10302,1.1865,0.0063993
10316,1.1572,0.0060872
10332,1.1523,0.0060359
10347,1.1621,0.0061386
10361,1.084,0.005341
10377,1.1572,0.0060872
10392,1.1865,0.0063993
10406,1.1377,0.0058834
10422,1.1279,0.0057828
10437,1.1279,0.0057828
10451,0.024414,2.7093e-06
10465,1.1523,0.0060359
10479,1.1328,0.005833
10494,1.1084,0.0055843
10510,1.1572,0.0060872
10524,1.1768,0.0062944
10540,1.167,0.0061903
10555,1.1719,0.0062422
10569,1.0938,0.0054377
10585,1.123,0.0057329
10599,1.1133,0.0056336
10614,1.1035,0.0055352
10630,1.1572,0.0060872
10644,1.1182,0.0056831
10659,1.1865,0.0063993
10675,1.0791,0.005293
10689,1.1523,0.0060359
10704,1.1426,0.005934
10720,1.1963,0.006505
10734,1.1621,0.0061386
10749,1.2207,0.0067733
10764,1.1572,0.0060872
10779,1.1279,0.0057828
10795,1.1279,0.0057828
10809,1.167,0.0061903
10824,1.1377,0.0058834
10840,1.1914,0.006452
10854,1.1572,0.0060872
10869,1.123,0.0057329
10885,1.1914,0.006452
10899,1.1475,0.0059848
10914,1.1914,0.006452
10929,1.1816,0.0063467
10944,1.1572,0.0060872
10959,1.1523,0.0060359
10974,1.0889,0.0053892
10989,1.1475,0.0059848
11004,1.1523,0.0060359
11019,1.167,0.0061903
11034,1.1328,0.005833
11049,0.097656,4.3349e-05
11063,1.1719,0.0062422
11078,1.1963,0.006505
11092,1.1084,0.0055843
11108,1.1914,0.006452
11123,1.1084,0.0055843
11138,1.1572,0.0060872
11153,1.1475,0.0059848
11168,1.1523,0.0060359
11183,1.1426,0.005934
11198,1.1377,0.0058834
11213,1.1816,0.0063467
11228,1.1182,0.0056831
11243,1.1914,0.006452
11258,1.1768,0.0062944
11273,1.1914,0.006452
11288,1.1523,0.0060359
11302,1.0938,0.0054377
11318,1.1182,0.0056831
11333,1.1572,0.0060872
11347,1.1426,0.005934
11363,1.1133,0.0056336
11378,0.024414,2.7093e-06
11390,1.1475,0.0059848
11406,1.1328,0.005833
11420,1.1523,0.0060359
11436,0.029297,3.9014e-06
11449,1.123,0.0057329
11463,1.123,0.0057329
11479,1.1865,0.0063993
11494,1.167,0.0061903
11508,1.1865,0.0063993
11524,1.1279,0.0057828
11539,1.1719,0.0062422
11553,1.1523,0.0060359
11569,1.1523,0.0060359
11583,1.1621,0.0061386
11598,1.1523,0.0060359
11614,1.0938,0.0054377
11628,1.1572,0.0060872
11643,1.1035,0.0055352
11659,1.1719,0.0062422
11673,1.1621,0.0061386
11688,1.1865,0.0063993
11704,1.0938,0.0054377
11718,1.1865,0.0063993
11734,1.1426,0.005934
11748,1.1816,0.0063467
11763,1.1084,0.0055843
11779,1.1523,0.0060359
11793,1.1279,0.0057828
11808,1.1475,0.0059848
11824,1.1816,0.0063467
11838,1.1816,0.0063467
11853,1.2158,0.0067192
11869,1.1279,0.0057828
11883,0.98633,0.004422
11898,1.1768,0.0062944
11913,1.1914,0.006452
11928,1.1523,0.0060359
11943,1.1719,0.0062422
11958,1.1523,0.0060359
11973,1.1719,0.0062422
11988,1.1865,0.0063993
12003,1.1279,0.0057828
12018,1.1719,0.0062422
12034,1.1523,0.0060359
12048,1.167,0.0061903
12063,1.1182,0.0056831
12078,1.1914,0.006452
12093,1.1719,0.0062422
12108,1.1523,0.0060359
12123,1.1523,0.0060359
12138,1.1035,0.0055352
12153,1.1475,0.0059848
12168,1.1572,0.0060872
12183,0.039063,6.9358e-06
12196,1.1426,0.005934
12211,1.0938,0.0054377
12226,1.1328,0.005833
12240,1.1426,0.005934
12256,1.1816,0.0063467
12271,1.1621,0.0061386
12285,1.1768,0.0062944
12301,1.1523,0.0060359
12316,0.024414,2.7093e-06
12328,1.1572,0.0060872
12344,1.1621,0.0061386
12359,0.029297,3.9014e-06
12371,1.1621,0.0061386
12387,1.1914,0.006452
12401,1.1816,0.0063467
12417,1.1621,0.0061386
12432,1.0938,0.0054377
12446,0.1123,5.7329e-05
12461,1.1279,0.0057828
12476,1.1719,0.0062422
12490,1.1523,0.0060359
12506,1.1523,0.0060359
12520,1.1523,0.0060359
12535,1.1523,0.0060359
12551,1.1572,0.0060872
12565,1.123,0.0057329
12580,1.167,0.0061903
12596,1.1133,0.0056336
12610,1.1475,0.0059848
12625,1.084,0.005341
12641,1.1768,0.0062944
12655,0.073242,2.4384e-05
12669,1.167,0.0061903
12684,1.1816,0.0063467
12699,1.123,0.0057329
12715,1.1963,0.006505
12729,1.167,0.0061903
12744,1.1328,0.005833
12760,1.167,0.0061903
12774,1.1914,0.006452
12789,1.1963,0.006505
12805,1.1963,0.006505
12819,1.1133,0.0056336
12834,1.1328,0.005833
12849,1.1572,0.0060872
12864,1.0938,0.0054377
12879,1.1475,0.0059848
12894,1.1426,0.005934
12909,1.1621,0.0061386
12924,1.1475,0.0059848
12939,0.71289,0.0023101
12954,1.1279,0.0057828
12969,1.1475,0.0059848
12984,1.1719,0.0062422
12999,1.167,0.0061903
13014,1.1475,0.0059848
13029,1.1377,0.0058834
13044,1.0938,0.0054377
13059,1.1572,0.0060872
13074,1.1523,0.0060359
13089,1.1572,0.0060872
13104,1.1475,0.0059848
13119,1.1621,0.0061386
13134,1.1523,0.0060359
13149,1.1621,0.0061386
13164,1.1816,0.0063467
13178,1.2061,0.0066117
13194,1.1475,0.0059848
13209,1.1279,0.0057828
13223,1.1279,0.0057828
13239,1.1475,0.0059848
13254,1.1572,0.0060872
13268,1.1621,0.0061386
13284,1.1621,0.0061386
13299,1.2012,0.0065582
13314,1.1182,0.0056831
13329,1.1377,0.0058834
13343,1.1475,0.0059848
13359,1.1426,0.005934
13374,1.1328,0.005833
13388,1.1328,0.005833
13404,1.123,0.0057329
13419,1.1914,0.006452
13433,1.1523,0.0060359
13449,1.1182,0.0056831
13464,1.167,0.0061903
13478,1.1621,0.0061386
13494,1.1572,0.0060872
13508,1.1475,0.0059848
13523,1.1865,0.0063993
13539,1.1963,0.006505
13553,1.167,0.0061903
13569,1.1719,0.0062422
13584,1.1035,0.0055352
13598,1.1328,0.005833
13614,1.1621,0.0061386
13629,1.1035,0.0055352
13643,1.1963,0.006505
13659,1.1475,0.0059848
13674,1.1377,0.0058834
13688,1.1182,0.0056831
13704,1.1133,0.0056336
13718,1.0889,0.0053892
13733,1.1719,0.0062422
13749,1.1572,0.0060872
13763,1.1768,0.0062944
13778,1.1719,0.0062422
13794,1.1816,0.0063467
13808,1.1816,0.0063467
13824,1.1963,0.006505
13839,1.1768,0.0062944
13853,1.1719,0.0062422
13869,1.1621,0.0061386
13883,1.1719,0.0062422
13898,1.0791,0.005293
13914,1.167,0.0061903
13928,1.1865,0.0063993
13943,1.1768,0.0062944
13959,1.1572,0.0060872
13973,1.1816,0.0063467
13988,1.1035,0.0055352
14003,1.2109,0.0066653
14018,1.1963,0.006505
14033,1.2012,0.0065582
