Time.s,Voltage.V,Power.Watt,Energy.J
6.227,0.33691,0.00051596,0.00290669400934
6.24,0.30273,0.00041658,0.00291275551934
6.264,0.32715,0.00048648,0.00292359223934
6.278,0.31738,0.00045787,0.00293020268934
6.29,0.33691,0.00051596,0.00293604566934
6.303,0.3418,0.00053102,0.00294285103934
6.317,0.29785,0.00040325,0.00294939092934
6.329,0.3125,0.00044389,0.00295447376934
6.342,0.32227,0.00047207,0.00296042750934
6.354,0.31738,0.00045787,0.00296600714934
6.368,0.32715,0.00048648,0.00297261759934
6.381,0.33203,0.00050111,0.00297903693434
6.393,0.32715,0.00048648,0.00298496247434
6.407,0.31738,0.00045787,0.00299157292434
6.419,0.31738,0.00045787,0.00299706736434
6.432,0.32227,0.00047207,0.00300311197434
6.445,0.33203,0.00050111,0.00300943764434
6.458,0.32227,0.00047207,0.00301576331434
6.471,0.32715,0.00048648,0.00302199388934
6.483,0.31738,0.00045787,0.00302765998934
6.497,0.32715,0.00048648,0.00303427043934
6.509,0.32715,0.00048648,0.00304010819934
6.522,0.31738,0.00045787,0.00304624647434
6.536,0.31738,0.00045787,0.00305265665434
6.548,0.33203,0.00050111,0.00305841053434
6.561,0.32227,0.00047207,0.00306473620434
6.574,0.3418,0.00053102,0.00307125628934
6.587,0.32715,0.00048648,0.00307787003934
6.599,0.30762,0.00043013,0.00308336969934
6.612,0.33203,0.00050111,0.00308942275934
6.626,0.3125,0.00044389,0.00309603775934
6.638,0.30762,0.00043013,0.00310128187934
6.651,0.32715,0.00048648,0.00310723984434
6.664,0.32227,0.00047207,0.00311347041934
6.677,0.31738,0.00045787,0.00311951502934
6.689,0.32227,0.00047207,0.00312509466934
6.715,0.3125,0.00044389,0.00313700214934
6.727,0.33203,0.00050111,0.00314267214934
6.74,0.33203,0.00050111,0.00314918657934
6.753,0.30762,0.00043013,0.00315523963934
6.766,0.32227,0.00047207,0.00316110393934
6.778,0.31738,0.00045787,0.00316668357934
6.792,0.32715,0.00048648,0.00317329402934
6.805,0.33203,0.00050111,0.00317971336434
6.817,0.32715,0.00048648,0.00318563890434
6.831,0.33691,0.00051596,0.00319265598434
6.843,0.33691,0.00051596,0.00319884750434
6.856,0.32227,0.00047207,0.00320526969934
6.87,0.33691,0.00051596,0.00321218590934
6.894,0.32715,0.00048648,0.00322421518934
6.906,0.33691,0.00051596,0.00323022982934
6.92,0.33691,0.00051596,0.00323745326934
6.932,0.30762,0.00043013,0.00324312980934
6.945,0.32715,0.00048648,0.00324908777434
6.959,0.3418,0.00053102,0.00325621027434
6.971,0.31738,0.00045787,0.00326214361434
6.984,0.33691,0.00051596,0.00326847350934
6.996,0.3125,0.00044389,0.00327423260934
7.01,0.3125,0.00044389,0.00328044706934
7.022,0.32227,0.00047207,0.00328594282934
7.035,0.32715,0.00048648,0.00329217340434
7.049,0.3125,0.00044389,0.00329868599434
7.061,0.33691,0.00051596,0.00330444509434
7.074,0.33691,0.00051596,0.00331115257434
7.087,0.3125,0.00044389,0.00331739159934
7.1,0.33691,0.00051596,0.00332363062434
7.112,0.31738,0.00045787,0.00332947360434
7.126,0.32227,0.00047207,0.00333598318434
7.139,0.33691,0.00051596,0.00334240537934
7.151,0.32715,0.00048648,0.00334842001934
7.164,0.33691,0.00051596,0.00335493587934
7.177,0.3418,0.00053102,0.00336174124934
7.19,0.3125,0.00044389,0.00336807816434
7.203,0.33203,0.00050111,0.00337422066434
7.216,0.32715,0.00048648,0.00338063999934
7.229,0.32227,0.00047207,0.00338687057434
7.241,0.1123,0.000057329,0.00339004696834
7.255,0.33203,0.00050111,0.00339395604134
7.267,0.3125,0.00044389,0.00339962604134
7.28,0.32227,0.00047207,0.00340557978134
7.293,0.29785,0.00040325,0.00341126936134
7.306,0.029297,0.0000039014,0.00341391584544
7.318,0.31738,0.00045787,0.00341668647384
7.33,0.30273,0.00041658,0.00342193317384
7.344,0.33203,0.00050111,0.00342835700384
7.357,0.3125,0.00044389,0.00343449950384
7.369,0.30762,0.00043013,0.00343974362384
7.383,0.33203,0.00050111,0.00344626230384
7.395,0.33203,0.00050111,0.00345227562384
7.408,0.32715,0.00048648,0.00345869495884
7.42,0.31738,0.00045787,0.00346436105884
7.434,0.32715,0.00048648,0.00347097150884
